"","id","sex","age"
"1",1,"F",36
"2",2,"M",30
"3",3,"M",42
"4",4,"F",54
"5",5,"M",72
"6",6,"M",54
"7",7,"F",57
"8",8,"F",54
"9",9,"M",53
"10",10,"M",43
"11",11,"F",22
"12",12,"M",24
"13",13,"M",40
"14",14,"M",53
"15",15,"M",36
"16",16,"M",52
"17",17,"M",32
"18",18,"M",36
"19",19,"F",68
"20",20,"M",81
"21",21,"M",41
"22",22,"M",40
"23",23,"F",59
"24",24,"M",53
"25",25,"M",55
"26",26,"F",66
"27",27,"M",74
"28",28,"F",72
"29",29,"M",32
"30",30,"M",21
"31",31,"F",49
"32",32,"M",55
"33",33,"M",66
"34",34,"M",33
"35",35,"M",37
"36",36,"M",26
"37",37,"M",48
"38",38,"M",43
"39",39,"F",34
"40",40,"M",34
"41",41,"M",38
"42",42,"M",39
"43",43,"M",41
"44",44,"F",61
"45",45,"M",42
"46",46,"M",31
"47",47,"M",57
"48",48,"F",42
"49",49,"F",59
"50",50,"M",49
"51",51,"M",53
"52",52,"M",46
"53",53,"F",42
"54",54,"M",51
"55",55,"F",45
"56",56,"F",45
"57",57,"M",38
"58",58,"M",45
"59",59,"M",37
"60",60,"F",58
"61",61,"M",42
"62",62,"M",55
"63",63,"F",73
"64",64,"F",56
"65",65,"M",61
"66",66,"M",46
"67",67,"M",54
"68",68,"F",35
"69",69,"F",44
"70",70,"F",39
"71",71,"F",41
"72",72,"M",37
"73",73,"F",57
"74",74,"M",38
"75",75,"F",38
"76",76,"F",64
"77",77,"M",52
"78",78,"M",55
"79",79,"M",48
"80",80,"F",30
"81",81,"M",46
"82",82,"M",49
"83",83,"M",71
"84",84,"F",48
"85",85,"M",55
"86",86,"M",53
"87",87,"F",34
"88",88,"F",54
"89",89,"M",45
"90",90,"M",64
"91",91,"M",40
"92",92,"F",47
"93",93,"M",45
"94",94,"M",80
"95",95,"M",46
"96",96,"M",35
"97",97,"F",43
"98",98,"F",45
"99",99,"F",43
"100",100,"F",53
"101",101,"M",53
"102",102,"M",31
"103",103,"F",50
"104",104,"M",24
"105",105,"F",43
"106",106,"F",39
"107",107,"M",42
"108",108,"M",52
"109",109,"M",34
"110",110,"M",53
"111",111,"F",64
"112",112,"M",51
"113",113,"F",0
"114",114,"M",53
"115",115,"M",24
"116",116,"F",52
"117",117,"F",67
"118",118,"M",46
"119",119,"F",62
"120",120,"M",45
"121",121,"F",35
"122",122,"M",50
"123",123,"M",14
"124",124,"F",40
"125",125,"M",55
"126",126,"F",42
"127",127,"F",55
"128",128,"M",55
"129",129,"M",48
"130",130,"F",13
"131",131,"M",39
"132",132,"F",55
"133",133,"F",47
"134",134,"M",36
"135",135,"F",39
"136",136,"M",47
"137",137,"M",39
"138",138,"M",25
"139",139,"F",8
"140",140,"M",61
"141",141,"M",48
"142",142,"F",52
"143",143,"M",63
"144",144,"M",44
"145",145,"M",62
"146",146,"M",50
"147",147,"M",74
"148",148,"F",26
"149",149,"F",42
"150",150,"M",46
"151",151,"F",61
"152",152,"M",52
"153",153,"M",58
"154",154,"M",59
"155",155,"M",37
"156",156,"M",29
"157",157,"M",63
"158",158,"M",61
"159",159,"M",60
"160",160,"F",65
"161",161,"M",39
"162",162,"M",58
"163",163,"F",54
"164",164,"M",15
"165",165,"M",53
"166",166,"F",25
"167",167,"M",50
"168",168,"M",38
"169",169,"F",36
"170",170,"M",60
"171",171,"M",43
"172",172,"M",78
"173",173,"M",63
"174",174,"M",34
"175",175,"F",41
"176",176,"M",56
"177",177,"F",46
"178",178,"F",40
"179",179,"F",71
"180",180,"F",64
"181",181,"M",35
"182",182,"F",27
"183",183,"M",66
"184",184,"M",38
"185",185,"F",32
"186",186,"M",41
"187",187,"F",56
"188",188,"M",53
"189",189,"M",62
"190",190,"F",43
"191",191,"F",28
"192",192,"M",45
"193",193,"M",40
"194",194,"M",66
"195",195,"M",18
"196",196,"M",43
"197",197,"F",20
"198",198,"F",60
"199",199,"M",79
"200",200,"M",44
"201",201,"M",54
"202",202,"M",43
"203",203,"M",64
"204",204,"F",48
"205",205,"M",52
"206",206,"F",61
"207",207,"M",37
"208",208,"M",45
"209",209,"M",52
"210",210,"M",49
"211",211,"M",44
"212",212,"M",77
"213",213,"M",30
"214",214,"M",47
"215",215,"F",59
"216",216,"F",37
"217",217,"F",43
"218",218,"M",43
"219",219,"M",48
"220",220,"F",43
"221",221,"F",35
"222",222,"M",26
"223",223,"F",33
"224",224,"M",40
"225",225,"M",33
"226",226,"M",50
"227",227,"F",47
"228",228,"M",65
"229",229,"M",42
"230",230,"M",59
"231",231,"M",51
"232",232,"M",18
"233",233,"F",61
"234",234,"M",52
"235",235,"M",63
"236",236,"F",66
"237",237,"M",63
"238",238,"M",35
"239",239,"M",49
"240",240,"F",26
"241",241,"F",50
"242",242,"M",31
"243",243,"M",34
"244",244,"F",39
"245",245,"M",47
"246",246,"M",47
"247",247,"F",56
"248",248,"F",39
"249",249,"M",23
"250",250,"M",63
"251",251,"M",60
