"day","userid","pt","spent"
1,2893,669.572224881455,0
1,2894,640.499228955284,0
1,2895,619.912054006643,0
1,2896,623.727943644301,0
1,2903,567.545119564073,0
1,2906,572.73372148917,0
1,2908,625.231252262911,0
1,2910,626.400757667755,0
1,2913,532.231672369362,0
1,2922,547.700427367928,0
1,2928,633.56490519287,0
1,2930,602.20965598032,0
1,2935,515.781206140608,0
1,2939,520.297446727583,0
1,2942,614.291733293307,0
1,2945,602.489435382516,0
1,2947,577.321314620417,0
1,2949,544.264598779267,0
1,2953,624.879652567607,0
1,2956,569.714607992778,0
1,2959,619.886460712177,0
1,2960,473.371433731278,0
1,2961,568.127794529719,0
1,2962,593.017781462315,0
1,2963,615.219697577399,0
1,2965,708.995938652426,0
1,2966,604.253046504272,0
1,2974,578.070490697349,0
1,2977,631.662654037182,0
1,2979,592.830304626236,0
1,2980,645.857822944565,0
1,2986,589.416983451954,0
1,2987,544.02046478603,0
1,2992,609.378869897733,0
1,2994,606.925197489175,0
1,3,764.880954067619,0
1,4,636.508140932888,0
1,6,636.54656963081,0
1,10,610.733741585003,0
1,11,587.349337489238,0
1,16,614.049585176684,0
1,17,716.036131766504,0
1,20,630.570706357936,0
1,21,729.486622261173,0
1,23,639.747414972942,0
1,24,662.533568988575,0
1,25,644.121044998451,0
1,28,742.127750759808,0
1,29,654.287484574045,0
1,30,821.425566593509,0
1,32,637.564595532557,0
1,36,672.627865822369,0
1,38,656.421638710599,0
1,39,651.393403050904,0
1,41,660.630606563678,0
1,42,603.06791406294,0
1,43,617.411702887031,0
1,45,657.209539588379,0
1,48,629.743726743987,0
1,50,648.059366528451,0
1,51,682.18775287576,0
1,55,665.821681560371,0
1,63,724.300536016302,0
1,64,629.879162752348,0
1,68,661.38552909456,0
1,69,730.989805827194,0
1,70,626.690546762767,0
1,73,676.303020685758,0
1,75,686.768310180182,0
1,76,704.406151672628,0
1,77,704.485659809982,0
1,78,668.406537861071,0
1,79,577.048125903953,0
1,82,706.347176342681,0
1,90,583.07240600321,0
1,92,587.443215012884,0
1,94,650.897689892908,0
1,96,680.030934128281,0
1,99,583.206073349464,0
1,102,615.949865954528,51.4478650128199
1,104,708.340615333596,0
1,105,589.409779700846,0
2,2893,556.468883685232,0
2,2894,578.616315874057,0
2,2895,653.570821625352,0
2,2896,586.546863543026,0
2,2898,546.952277086264,0
2,2899,591.717862690131,0
2,2900,533.091803252972,0
2,2903,572.68663454804,0
2,2905,522.838980681283,0
2,2908,528.602628287215,0
2,2909,546.196905913865,0
2,2910,558.579934560857,0
2,2911,566.413770944674,0
2,2913,541.718979833095,0
2,2914,592.314843340316,0
2,2917,596.143775150901,0
2,2919,641.837508939942,0
2,2920,488.008425222572,0
2,2923,574.767661500022,0
2,2924,594.19444173359,0
2,2925,555.838838140293,0
2,2926,636.958774033863,0
2,2928,502.191281658929,0
2,2931,456.996569543119,0
2,2935,526.669571537141,0
2,2936,540.667797626434,0
2,2937,588.266779938112,0
2,2940,597.50021757811,0
2,2943,528.560422295017,0
2,2944,711.390346317745,36.2813233893065
2,2946,504.018631350908,0
2,2948,492.488997240176,41.8768136666081
2,2950,549.29738747653,0
2,2951,521.197432217081,0
2,2953,592.357859691677,0
2,2954,512.504894914183,0
2,2957,589.143449151768,0
2,2960,612.657808591496,0
2,2961,491.024040023507,0
2,2964,507.894853452951,0
2,2965,567.408932899983,0
2,2966,527.643707691917,0
2,2967,620.547317367215,0
2,2969,581.285863427515,0
2,2970,517.622004702263,0
2,2971,554.926187949547,0
2,2974,543.673282080924,0
2,2975,464.388400289773,0
2,2976,500.537999970176,0
2,2977,609.968130055936,0
2,2979,651.872776323998,0
2,2980,507.041059273953,0
2,2981,547.323810772224,0
2,2982,576.236892262409,0
2,2983,447.842307690449,0
2,2984,653.442132135633,0
